 Iteration   Func-count     min f(x)         Procedure
   632         1389          3.93963         shrink
   633         1390          3.93963         reflect
   634         1391          3.93963         reflect
   635         1392          3.93963         reflect
   636         1393          3.93963         reflect
   637         1394          3.93963         reflect
   638         1413          3.93963         shrink
   639         1414          3.93963         reflect
   640         1415          3.93963         reflect
   641         1416          3.93963         reflect
   642         1417          3.93963         reflect
   643         1418          3.93963         reflect
   644         1419          3.93963         reflect
   645         1438          3.93963         shrink
   646         1439          3.93963         reflect
   647         1440          3.93963         reflect
   648         1441          3.93963         reflect
   649         1442          3.93963         reflect
   650         1443          3.93963         reflect
   651         1445          3.93963         contract inside
   652         1446          3.93963         reflect
   653         1447          3.93963         reflect
   654         1448          3.93963         reflect
   655         1449          3.93963         reflect
   656         1450          3.93963         reflect
   657         1451          3.93963         reflect
   658         1453          3.93963         contract inside
   659         1454          3.93963         reflect
   660         1455          3.93963         reflect
   661         1474          3.93963         shrink
   662         1475          3.93963         reflect
   663         1476          3.93963         reflect
   664         1477          3.93963         reflect
   665         1496          3.93963         shrink
   666         1497          3.93963         reflect
   667         1499          3.93963         contract outside
   668         1501          3.93963         contract inside
   669         1503          3.93963         contract inside
   670         1505          3.93963         contract inside
   671         1506          3.93963         reflect
   672         1525          3.93963         shrink
   673         1526          3.93963         reflect
   674         1527          3.93963         reflect
   675         1528          3.93963         reflect
   676         1529          3.93963         reflect
   677         1530          3.93963         reflect
   678         1532          3.93963         contract inside
   679         1533          3.93963         reflect
   680         1534          3.93963         reflect
   681         1553          3.93963         shrink
   682         1555          3.93963         contract inside
   683         1556          3.93963         reflect
   684         1558          3.93963         contract inside
   685         1560          3.93963         contract inside
   686         1562          3.93963         contract outside
   687         1564          3.93963         contract inside
   688         1566          3.93963         contract inside
   689         1568          3.93963         contract inside
   690         1570          3.93963         contract inside
   691         1572          3.93963         contract inside
   692         1574          3.93963         contract inside
   693         1576          3.93963         contract inside
   694         1578          3.93963         contract inside
   695         1580          3.93963         contract inside
   696         1582          3.93963         contract inside
   697         1584          3.93963         contract inside
   698         1586          3.93963         contract inside
   699         1588          3.93963         contract inside
