Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  533        106600          0.012398           1.26489
  534        106800         0.0124022           1.27176
  535        107000         0.0123774           1.15022
  536        107200         0.0123794           1.23382
  537        107400          0.012387            1.2415
  538        107600         0.0123781           1.16935
  539        107800         0.0123885            1.2534
  540        108000         0.0124669           1.24877

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  541        108200         0.0124739           1.24928
  542        108400          0.012499           1.25979
  543        108600         0.0124885           1.12177
  544        108800         0.0124593           1.22143
  545        109000         0.0114264           1.11087
  546        109200         0.0117218           1.07155
  547        109400         0.0115789           1.09209
  548        109600         0.0122395           1.02722
  549        109800         0.0122408           1.05156
  550        110000         0.0121762           1.06436
  551        110200         0.0119354           1.09978
  552        110400         0.0117641           1.08655
  553        110600          0.011835           1.09466
  554        110800         0.0116126           1.12607
  555        111000         0.0114571            1.1446
  556        111200         0.0114747           1.14761
  557        111400         0.0115381           1.13399
  558        111600         0.0115436           1.12964
  559        111800         0.0115367           1.13526
  560        112000         0.0114546           1.15152
  561        112200         0.0114472            1.1501
  562        112400         0.0114092            1.1449
  563        112600         0.0114096           1.14762
  564        112800         0.0114176           1.15116
  565        113000           0.01149           1.14303
  566        113200         0.0114859           1.14043
  567        113400         0.0114766           1.13892
  568        113600          0.011393           1.11526
  569        113800          0.011438           1.14105
  570        114000         0.0115048           1.12504

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  571        114200         0.0114272           1.14296
  572        114400         0.0124952           1.24656
  573        114600         0.0124947           1.21309
  574        114800         0.0126009           1.14877
  575        115000         0.0125352           1.28433
  576        115200         0.0125244           1.27453
  577        115400         0.0128169           1.25785
  578        115600          0.013241           1.19795
  579        115800         0.0137606           1.13945
  580        116000          0.013532           1.07446
  581        116200         0.0133454           1.14145
  582        116400         0.0137122           1.09194
  583        116600         0.0135741           1.09351
  584        116800          0.013268           1.12715
  585        117000         0.0123749            0.9969
  586        117200         0.0122056           1.01902
  587        117400         0.0123799          0.997304
  588        117600         0.0120431           1.04074
  589        117800         0.0117281           1.08222
  590        118000         0.0114408           1.12275
  591        118200         0.0114364           1.07454
  592        118400         0.0114308           1.10643
  593        118600         0.0115225           1.09862
  594        118800          0.011527           1.09905
  595        119000         0.0114327           1.11374
  596        119200          0.011499           1.10345
  597        119400          0.011603           1.09656
  598        119600         0.0119899           1.04596
  599        119800         0.0115337           1.10678
  600        120000         0.0114347           1.11394

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  601        120200         0.0123801             1.008
  602        120400         0.0125384          0.980665
  603        120600          0.012464          0.992898
  604        120800         0.0124958          0.977331
  605        121000         0.0127758          0.943718
  606        121200         0.0122341           1.01002
  607        121400         0.0117334           1.07066
  608        121600         0.0114306           1.10925
  609        121800         0.0114191           1.10814
  610        122000         0.0114107           1.10734
  611        122200         0.0114158           1.11034
  612        122400         0.0113386           1.04469
  613        122600         0.0113185           1.07333
  614        122800         0.0113447           1.08008
  615        123000         0.0116884            1.0443
  616        123200         0.0118268           1.08145
  617        123400         0.0117727           1.10779
  618        123600         0.0114776            1.1497
  619        123800         0.0114139           1.16063
  620        124000         0.0114067           1.15991
  621        124200         0.0114064           1.15988
  622        124400         0.0113914           1.06476
  623        124600         0.0113787           1.10994
  624        124800          0.011367           1.08925
Optimization terminated: time limit exceeded.
