Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  576        115200        0.00485343          0.723826
  577        115400        0.00485372          0.724329
  578        115600          0.004859          0.727514
  579        115800        0.00486014          0.725947
  580        116000        0.00482536          0.832921
  581        116200        0.00483536          0.729067
  582        116400        0.00483297          0.734843
  583        116600        0.00484485          0.817496
  584        116800        0.00482808          0.715873
  585        117000        0.00484258          0.731127
  586        117200        0.00482291          0.715181
  587        117400        0.00483208          0.716558
  588        117600        0.00486349          0.867028
  589        117800        0.00482378          0.732383
  590        118000        0.00475748          0.768163
  591        118200        0.00475458          0.732794
  592        118400        0.00475066          0.729176
  593        118600        0.00475708          0.727002
  594        118800        0.00473541          0.752008
  595        119000        0.00475116          0.718238
  596        119200        0.00478964          0.853756
  597        119400         0.0047808          0.707726
  598        119600        0.00476441          0.688134
  599        119800        0.00479352          0.690887
  600        120000        0.00478845          0.685257

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  601        120200        0.00479917          0.688169
  602        120400        0.00477606          0.674212
  603        120600        0.00476466          0.685236
  604        120800        0.00476681          0.692071
  605        121000        0.00471941          0.683078
  606        121200         0.0047128          0.676118
  607        121400        0.00470197          0.669521
  608        121600        0.00472595          0.775936
  609        121800        0.00470991          0.675655
  610        122000         0.0046825          0.664587
  611        122200        0.00471728          0.690532
Optimization terminated: time limit exceeded.
